     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        32,         1,         0,   0.530,mwpf__20010ca96b5c4e045d54701e427c7e2548d7f314637e4a225f8134bd4fb7e765,415cb7d0a044e93b0eb60bdf79848820bb119e174be6fce7d24f515383690a25,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":5,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.005,""r"":15,""run_id"":""d51e9ae8a35031acab6979e8efc506cd2a36104fa2b6cc7bf467e67ee81fb2eb""}",
       512,        23,         0,   0.924,mwpf__0adf0437c2109b83532c1237400659691bc81a8bbefba717bce03e783078e23e,697326b6b71d6b108279f71125bcb01a3f63663205555f280a45a26e45934304,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.0065,""r"":9,""run_id"":""d4c06840134e699bf91545fd3ff1eaad2727cf47021daec9d8212e091c8e7b8d""}",
      6144,        11,         0,   0.410,mwpf__6e908bb0fae8d03efceb4ccbbcafb490ce1e16d0e931383c18bcd3a7db9b53af,87eae1959c5cbd866673ab33980d122fdc059e4bd5e4903511694132b5749db7,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.001,""r"":9,""run_id"":""b39245e63fa2a138f9b6f514bbb2fdef9b327685522cc65561ebd051919a9f38""}",
       128,         6,         0,   0.447,mwpf__2d207b02d02d8ff75b3af03fb56b0882573b1c04ad11f8fdbcfcd88ad7b76c10,ca458fd05132f0280163a5549a40f0ae1067935948bf4cbb4c46289ba222609d,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.01,""r"":9,""run_id"":""dc225ae658a2b0be30d136e395931183b08698d6a7f0cf4695c6a4d63e92f848""}",
      1024,        18,         0,   0.871,mwpf__172437dab65d721af194b25726a756586ba84653d736b44872be16569049737a,195853a9a04f23a66d3b115718b526d925ff2d81a263ac28bdc61bf39bea658a,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.004,""r"":9,""run_id"":""663c95daea74cca3f39cae94f7507278663f5c17d6d7d735eac17514c235cd1a""}",
      1024,         0,         0,   0.929,mwpf__b040aa8567bd51a819d931686c74e29a607153c14cc841a695821d512ba541b3,b09d5994921c64fe42e965aa1208e9b84cd90ac97515ee766136fa7b293150f3,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":5,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.001,""r"":15,""run_id"":""f97bd6d59db241361032ffd21c2a1cf6fa1deafcab5143444ed853b2ed1e37ba""}",
       256,        12,         0,   0.713,mwpf__288807a5e5e11d9ac040c414634c87968b67543fb4f1739081fbcfb6c0ce10c2,229f0942a1947a1abe7f06ea914205feed9919aa763a1c93b41886d1e564752f,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.006,""r"":9,""run_id"":""f0216c5a84afc4b9fdce4fc5cbec6e6f97c017872359274e69cbec6ce4be803f""}",
       256,        17,         0,   0.819,mwpf__1b01a14231df463f5c486bcf85fc315831c853704bf8bafdba197f30b0f08579,f1ea682179a4ab004ccaa007a140bb09e010c5003203ced1040e539866df2f06,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.0075,""r"":9,""run_id"":""1676a8c698735465b4ca3a3b805fc95c2526dfc56c3b94fe98a260276d3af5c6""}",
       128,         1,         0,    2.17,mwpf__060089c069dd241722caa8d2c750a75c90e8971886ac7c3bb4bc81208a9e1bcb,422c48f85b838c4d5a845eabf80669ec6b3695cbc906a7f5cceb40a5e3aecd86,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":5,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.004,""r"":15,""run_id"":""3db3eb8f3a8898fe8b721d71cdc85003fa2582bdcd5d9b3dad6ff27d2637152d""}",
       256,        22,         0,    1.11,mwpf__dab0f8cd5118f8a86d3e86d23ada5d0e5cb34b9f742082ec339d0a81d34b3329,f3a2bca8512b6c8d66251b2f60f9a1939f3afc8f7fc8518368d712609da19469,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.009,""r"":9,""run_id"":""2fdf05fcc357b6316334962dbd08d096c52b640cd8935d3fed1e3be13ee4f55c""}",
       512,        17,         0,   0.770,mwpf__321c040a53f2dce5e30abf3c0ed6fd28fb7243d35fc571c73d2b7e201c4d1d4f,679cf0eb918b499e6032343fe29cf1afd5afc920f5b92fa74cbfb062e291c1d7,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.005,""r"":9,""run_id"":""055b643dbf2ce935f57fadad3ac101e7333074fa4d5281066defe485f417a36e""}",
       256,        17,         0,   0.915,mwpf__1ce90d1e4c4e93d895beba4c220203dec0aa6e736d2a0d1712959572faeac420,8f6a514f697f4d1616e1c8927f3498db1fd0facfa8df0c87b3ed5106d39db944,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.008,""r"":9,""run_id"":""bd0ecb0451d7484caaefb473b650e14b21b3c64521ff7ea0b0b99a8405670dea""}",
      8192,         8,         0,   0.572,mwpf__6e908bb0fae8d03efceb4ccbbcafb490ce1e16d0e931383c18bcd3a7db9b53af,87eae1959c5cbd866673ab33980d122fdc059e4bd5e4903511694132b5749db7,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.001,""r"":9,""run_id"":""b39245e63fa2a138f9b6f514bbb2fdef9b327685522cc65561ebd051919a9f38""}",
       512,        25,         0,   0.781,mwpf__3e77045b2c43f44098420681f131956cfd94472d2620a7955077864728ad141c,b64736e7633bb2094e94a9270913a7fa3a2162d49035db1519d0d0477f6d6958,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.007,""r"":9,""run_id"":""c4e0796ef53099cc491e7777d087d57d8d7f06c467def7e80de51dc3659bcdcd""}",
       128,        12,         0,   0.769,mwpf__b614f67dd112c99abf951d3b904f941be3ad6ac2ac689775ebff9243c43a5a2d,400f0fb48f840c623f38d24b5bee101875c7167ba9934624b33892d1e6f5fcc6,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.011,""r"":9,""run_id"":""7acbeb8bad635a24458ac94f6417cc7e6528e03fd9d390e7bb2ebb7079af51e0""}",
        32,         1,         0,   0.769,mwpf__20010ca96b5c4e045d54701e427c7e2548d7f314637e4a225f8134bd4fb7e765,415cb7d0a044e93b0eb60bdf79848820bb119e174be6fce7d24f515383690a25,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":5,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.005,""r"":15,""run_id"":""d51e9ae8a35031acab6979e8efc506cd2a36104fa2b6cc7bf467e67ee81fb2eb""}",
       128,        14,         0,   0.599,mwpf__2d207b02d02d8ff75b3af03fb56b0882573b1c04ad11f8fdbcfcd88ad7b76c10,ca458fd05132f0280163a5549a40f0ae1067935948bf4cbb4c46289ba222609d,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.01,""r"":9,""run_id"":""dc225ae658a2b0be30d136e395931183b08698d6a7f0cf4695c6a4d63e92f848""}",
       256,        10,         0,   0.423,mwpf__288807a5e5e11d9ac040c414634c87968b67543fb4f1739081fbcfb6c0ce10c2,229f0942a1947a1abe7f06ea914205feed9919aa763a1c93b41886d1e564752f,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.006,""r"":9,""run_id"":""f0216c5a84afc4b9fdce4fc5cbec6e6f97c017872359274e69cbec6ce4be803f""}",
      1024,         0,         0,   0.711,mwpf__b040aa8567bd51a819d931686c74e29a607153c14cc841a695821d512ba541b3,b09d5994921c64fe42e965aa1208e9b84cd90ac97515ee766136fa7b293150f3,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":5,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.001,""r"":15,""run_id"":""f97bd6d59db241361032ffd21c2a1cf6fa1deafcab5143444ed853b2ed1e37ba""}",
       512,        17,         0,   0.528,mwpf__321c040a53f2dce5e30abf3c0ed6fd28fb7243d35fc571c73d2b7e201c4d1d4f,679cf0eb918b499e6032343fe29cf1afd5afc920f5b92fa74cbfb062e291c1d7,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.005,""r"":9,""run_id"":""055b643dbf2ce935f57fadad3ac101e7333074fa4d5281066defe485f417a36e""}",
      1024,        22,         0,   0.767,mwpf__172437dab65d721af194b25726a756586ba84653d736b44872be16569049737a,195853a9a04f23a66d3b115718b526d925ff2d81a263ac28bdc61bf39bea658a,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.004,""r"":9,""run_id"":""663c95daea74cca3f39cae94f7507278663f5c17d6d7d735eac17514c235cd1a""}",
       256,        22,         0,   0.653,mwpf__dab0f8cd5118f8a86d3e86d23ada5d0e5cb34b9f742082ec339d0a81d34b3329,f3a2bca8512b6c8d66251b2f60f9a1939f3afc8f7fc8518368d712609da19469,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.009,""r"":9,""run_id"":""2fdf05fcc357b6316334962dbd08d096c52b640cd8935d3fed1e3be13ee4f55c""}",
       256,        13,         0,   0.759,mwpf__1b01a14231df463f5c486bcf85fc315831c853704bf8bafdba197f30b0f08579,f1ea682179a4ab004ccaa007a140bb09e010c5003203ced1040e539866df2f06,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.0075,""r"":9,""run_id"":""1676a8c698735465b4ca3a3b805fc95c2526dfc56c3b94fe98a260276d3af5c6""}",
       512,        19,         0,   0.308,mwpf__321c040a53f2dce5e30abf3c0ed6fd28fb7243d35fc571c73d2b7e201c4d1d4f,679cf0eb918b499e6032343fe29cf1afd5afc920f5b92fa74cbfb062e291c1d7,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.005,""r"":9,""run_id"":""055b643dbf2ce935f57fadad3ac101e7333074fa4d5281066defe485f417a36e""}",
       256,        17,         0,   0.836,mwpf__1ce90d1e4c4e93d895beba4c220203dec0aa6e736d2a0d1712959572faeac420,8f6a514f697f4d1616e1c8927f3498db1fd0facfa8df0c87b3ed5106d39db944,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.008,""r"":9,""run_id"":""bd0ecb0451d7484caaefb473b650e14b21b3c64521ff7ea0b0b99a8405670dea""}",
       256,         7,         0,   0.596,mwpf__288807a5e5e11d9ac040c414634c87968b67543fb4f1739081fbcfb6c0ce10c2,229f0942a1947a1abe7f06ea914205feed9919aa763a1c93b41886d1e564752f,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.006,""r"":9,""run_id"":""f0216c5a84afc4b9fdce4fc5cbec6e6f97c017872359274e69cbec6ce4be803f""}",
     10240,        14,         0,   0.823,mwpf__6e908bb0fae8d03efceb4ccbbcafb490ce1e16d0e931383c18bcd3a7db9b53af,87eae1959c5cbd866673ab33980d122fdc059e4bd5e4903511694132b5749db7,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.001,""r"":9,""run_id"":""b39245e63fa2a138f9b6f514bbb2fdef9b327685522cc65561ebd051919a9f38""}",
       512,        26,         0,    1.45,mwpf__0adf0437c2109b83532c1237400659691bc81a8bbefba717bce03e783078e23e,697326b6b71d6b108279f71125bcb01a3f63663205555f280a45a26e45934304,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.0065,""r"":9,""run_id"":""d4c06840134e699bf91545fd3ff1eaad2727cf47021daec9d8212e091c8e7b8d""}",
       128,        15,         0,   0.741,mwpf__2d207b02d02d8ff75b3af03fb56b0882573b1c04ad11f8fdbcfcd88ad7b76c10,ca458fd05132f0280163a5549a40f0ae1067935948bf4cbb4c46289ba222609d,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.01,""r"":9,""run_id"":""dc225ae658a2b0be30d136e395931183b08698d6a7f0cf4695c6a4d63e92f848""}",
      1024,         1,         0,   0.549,mwpf__b040aa8567bd51a819d931686c74e29a607153c14cc841a695821d512ba541b3,b09d5994921c64fe42e965aa1208e9b84cd90ac97515ee766136fa7b293150f3,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":5,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.001,""r"":15,""run_id"":""f97bd6d59db241361032ffd21c2a1cf6fa1deafcab5143444ed853b2ed1e37ba""}",
       128,        17,         0,   0.995,mwpf__b614f67dd112c99abf951d3b904f941be3ad6ac2ac689775ebff9243c43a5a2d,400f0fb48f840c623f38d24b5bee101875c7167ba9934624b33892d1e6f5fcc6,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.011,""r"":9,""run_id"":""7acbeb8bad635a24458ac94f6417cc7e6528e03fd9d390e7bb2ebb7079af51e0""}",
       256,        11,         0,   0.377,mwpf__288807a5e5e11d9ac040c414634c87968b67543fb4f1739081fbcfb6c0ce10c2,229f0942a1947a1abe7f06ea914205feed9919aa763a1c93b41886d1e564752f,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.006,""r"":9,""run_id"":""f0216c5a84afc4b9fdce4fc5cbec6e6f97c017872359274e69cbec6ce4be803f""}",
      1024,        29,         0,   0.754,mwpf__172437dab65d721af194b25726a756586ba84653d736b44872be16569049737a,195853a9a04f23a66d3b115718b526d925ff2d81a263ac28bdc61bf39bea658a,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.004,""r"":9,""run_id"":""663c95daea74cca3f39cae94f7507278663f5c17d6d7d735eac17514c235cd1a""}",
        64,         0,         0,    1.33,mwpf__060089c069dd241722caa8d2c750a75c90e8971886ac7c3bb4bc81208a9e1bcb,422c48f85b838c4d5a845eabf80669ec6b3695cbc906a7f5cceb40a5e3aecd86,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":5,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.004,""r"":15,""run_id"":""3db3eb8f3a8898fe8b721d71cdc85003fa2582bdcd5d9b3dad6ff27d2637152d""}",
       128,        13,         0,   0.434,mwpf__2d207b02d02d8ff75b3af03fb56b0882573b1c04ad11f8fdbcfcd88ad7b76c10,ca458fd05132f0280163a5549a40f0ae1067935948bf4cbb4c46289ba222609d,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.01,""r"":9,""run_id"":""dc225ae658a2b0be30d136e395931183b08698d6a7f0cf4695c6a4d63e92f848""}",
       512,        36,         0,    1.31,mwpf__3e77045b2c43f44098420681f131956cfd94472d2620a7955077864728ad141c,b64736e7633bb2094e94a9270913a7fa3a2162d49035db1519d0d0477f6d6958,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.007,""r"":9,""run_id"":""c4e0796ef53099cc491e7777d087d57d8d7f06c467def7e80de51dc3659bcdcd""}",
        32,         0,         0,   0.326,mwpf__060089c069dd241722caa8d2c750a75c90e8971886ac7c3bb4bc81208a9e1bcb,422c48f85b838c4d5a845eabf80669ec6b3695cbc906a7f5cceb40a5e3aecd86,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":5,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.004,""r"":15,""run_id"":""3db3eb8f3a8898fe8b721d71cdc85003fa2582bdcd5d9b3dad6ff27d2637152d""}",
       256,        15,         0,    1.02,mwpf__1b01a14231df463f5c486bcf85fc315831c853704bf8bafdba197f30b0f08579,f1ea682179a4ab004ccaa007a140bb09e010c5003203ced1040e539866df2f06,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.0075,""r"":9,""run_id"":""1676a8c698735465b4ca3a3b805fc95c2526dfc56c3b94fe98a260276d3af5c6""}",
       256,        15,         0,   0.881,mwpf__1ce90d1e4c4e93d895beba4c220203dec0aa6e736d2a0d1712959572faeac420,8f6a514f697f4d1616e1c8927f3498db1fd0facfa8df0c87b3ed5106d39db944,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.008,""r"":9,""run_id"":""bd0ecb0451d7484caaefb473b650e14b21b3c64521ff7ea0b0b99a8405670dea""}",
       256,        19,         0,   0.793,mwpf__0adf0437c2109b83532c1237400659691bc81a8bbefba717bce03e783078e23e,697326b6b71d6b108279f71125bcb01a3f63663205555f280a45a26e45934304,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.0065,""r"":9,""run_id"":""d4c06840134e699bf91545fd3ff1eaad2727cf47021daec9d8212e091c8e7b8d""}",
        32,         0,         0,   0.195,mwpf__060089c069dd241722caa8d2c750a75c90e8971886ac7c3bb4bc81208a9e1bcb,422c48f85b838c4d5a845eabf80669ec6b3695cbc906a7f5cceb40a5e3aecd86,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":5,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.004,""r"":15,""run_id"":""3db3eb8f3a8898fe8b721d71cdc85003fa2582bdcd5d9b3dad6ff27d2637152d""}",
       256,        10,         0,   0.319,mwpf__3e77045b2c43f44098420681f131956cfd94472d2620a7955077864728ad141c,b64736e7633bb2094e94a9270913a7fa3a2162d49035db1519d0d0477f6d6958,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.007,""r"":9,""run_id"":""c4e0796ef53099cc491e7777d087d57d8d7f06c467def7e80de51dc3659bcdcd""}",
       128,        20,         0,   0.619,mwpf__b614f67dd112c99abf951d3b904f941be3ad6ac2ac689775ebff9243c43a5a2d,400f0fb48f840c623f38d24b5bee101875c7167ba9934624b33892d1e6f5fcc6,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.011,""r"":9,""run_id"":""7acbeb8bad635a24458ac94f6417cc7e6528e03fd9d390e7bb2ebb7079af51e0""}",
        32,         0,         0,    1.66,mwpf__20010ca96b5c4e045d54701e427c7e2548d7f314637e4a225f8134bd4fb7e765,415cb7d0a044e93b0eb60bdf79848820bb119e174be6fce7d24f515383690a25,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":5,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.005,""r"":15,""run_id"":""d51e9ae8a35031acab6979e8efc506cd2a36104fa2b6cc7bf467e67ee81fb2eb""}",
      1024,         0,         0,   0.923,mwpf__b040aa8567bd51a819d931686c74e29a607153c14cc841a695821d512ba541b3,b09d5994921c64fe42e965aa1208e9b84cd90ac97515ee766136fa7b293150f3,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":5,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.001,""r"":15,""run_id"":""f97bd6d59db241361032ffd21c2a1cf6fa1deafcab5143444ed853b2ed1e37ba""}",
       256,        23,         0,    1.37,mwpf__dab0f8cd5118f8a86d3e86d23ada5d0e5cb34b9f742082ec339d0a81d34b3329,f3a2bca8512b6c8d66251b2f60f9a1939f3afc8f7fc8518368d712609da19469,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.009,""r"":9,""run_id"":""2fdf05fcc357b6316334962dbd08d096c52b640cd8935d3fed1e3be13ee4f55c""}",
       256,         6,         0,   0.726,mwpf__288807a5e5e11d9ac040c414634c87968b67543fb4f1739081fbcfb6c0ce10c2,229f0942a1947a1abe7f06ea914205feed9919aa763a1c93b41886d1e564752f,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.006,""r"":9,""run_id"":""f0216c5a84afc4b9fdce4fc5cbec6e6f97c017872359274e69cbec6ce4be803f""}",
       128,        12,         0,   0.583,mwpf__2d207b02d02d8ff75b3af03fb56b0882573b1c04ad11f8fdbcfcd88ad7b76c10,ca458fd05132f0280163a5549a40f0ae1067935948bf4cbb4c46289ba222609d,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.01,""r"":9,""run_id"":""dc225ae658a2b0be30d136e395931183b08698d6a7f0cf4695c6a4d63e92f848""}",
       256,        12,         0,   0.408,mwpf__1ce90d1e4c4e93d895beba4c220203dec0aa6e736d2a0d1712959572faeac420,8f6a514f697f4d1616e1c8927f3498db1fd0facfa8df0c87b3ed5106d39db944,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.008,""r"":9,""run_id"":""bd0ecb0451d7484caaefb473b650e14b21b3c64521ff7ea0b0b99a8405670dea""}",
     16384,        20,         0,    1.23,mwpf__6e908bb0fae8d03efceb4ccbbcafb490ce1e16d0e931383c18bcd3a7db9b53af,87eae1959c5cbd866673ab33980d122fdc059e4bd5e4903511694132b5749db7,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.001,""r"":9,""run_id"":""b39245e63fa2a138f9b6f514bbb2fdef9b327685522cc65561ebd051919a9f38""}",
       512,        15,         0,    1.38,mwpf__321c040a53f2dce5e30abf3c0ed6fd28fb7243d35fc571c73d2b7e201c4d1d4f,679cf0eb918b499e6032343fe29cf1afd5afc920f5b92fa74cbfb062e291c1d7,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.005,""r"":9,""run_id"":""055b643dbf2ce935f57fadad3ac101e7333074fa4d5281066defe485f417a36e""}",
       256,        10,         0,   0.496,mwpf__0adf0437c2109b83532c1237400659691bc81a8bbefba717bce03e783078e23e,697326b6b71d6b108279f71125bcb01a3f63663205555f280a45a26e45934304,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":null,""d"":3,""decoder"":""mwpf"",""decoder_type"":null,""p"":0.0065,""r"":9,""run_id"":""d4c06840134e699bf91545fd3ff1eaad2727cf47021daec9d8212e091c8e7b8d""}",
